  8.6400000e+002  7.5445372e+001  1.8850000e+003
  8.5881500e+002  7.5467581e+001  1.8840000e+003
  8.5083600e+002  7.5387428e+001  1.9010000e+003
  8.4800000e+002  7.5226538e+001  1.8860000e+003
  8.4623800e+002  7.5023003e+001  1.9200000e+003
  8.3920900e+002  7.4810168e+001  1.9660000e+003
  8.3400000e+002  7.4603228e+001  2.0140000e+003
  8.3400000e+002  7.4399055e+001  2.0810000e+003
  8.2288200e+002  7.4185512e+001  2.1400000e+003
  8.1102600e+002  7.3955847e+001  2.1840000e+003
  8.0999900e+002  7.3721163e+001  2.2210000e+003
  8.0107300e+002  7.3512517e+001  2.2540000e+003
  7.8814900e+002  7.3371916e+001  2.2810000e+003
  7.8400000e+002  7.3338298e+001  2.2570000e+003
  7.9029200e+002  7.3433957e+001  2.1500000e+003
  8.0230300e+002  7.3656721e+001  2.0680000e+003
  8.0800100e+002  7.3982665e+001  1.9800000e+003
  8.0950500e+002  7.4377854e+001  1.9520000e+003
  8.1449200e+002  7.4811980e+001  1.9280000e+003
  8.1799900e+002  7.5266560e+001  1.8920000e+003
  8.1799900e+002  7.5733112e+001  1.9050000e+003
  8.1800000e+002  7.6203673e+001  1.9070000e+003
  8.1800100e+002  7.6662640e+001  1.9030000e+003
  8.1800100e+002  7.7085878e+001  1.9370000e+003
  8.1339800e+002  7.7446296e+001  2.0150000e+003
  8.0742100e+002  7.7723397e+001  2.0890000e+003
  8.0600000e+002  7.7912350e+001  2.1330000e+003
  8.0054100e+002  7.8026393e+001  2.1830000e+003
  7.9055200e+002  7.8091814e+001  2.2320000e+003
  7.8600100e+002  7.8139988e+001  2.2510000e+003
  7.8908600e+002  7.8199240e+001  2.2840000e+003
  7.9706800e+002  7.8288440e+001  2.2910000e+003
  8.0200000e+002  7.8414963e+001  2.1940000e+003
  8.0484100e+002  7.8576147e+001  2.0720000e+003
  8.2064000e+002  7.8761024e+001  1.9940000e+003
  8.3400000e+002  7.8951630e+001  1.9220000e+003
  8.3400000e+002  7.9124622e+001  1.8880000e+003
  8.4236400e+002  7.9254486e+001  1.8720000e+003
  8.5244600e+002  7.9319668e+001  1.8640000e+003
  8.5400000e+002  7.9308473e+001  1.8580000e+003
  8.5137900e+002  7.9219733e+001  1.8830000e+003
  8.4537300e+002  7.9059378e+001  1.9230000e+003
  8.4199900e+002  7.8836388e+001  1.9710000e+003
  8.4193500e+002  7.8558165e+001  2.0470000e+003
  8.4093400e+002  7.8228081e+001  2.0950000e+003
  8.4000000e+002  7.7850104e+001  2.1170000e+003
  8.4000000e+002  7.7436885e+001  2.1600000e+003
  8.3858800e+002  7.7012596e+001  2.1860000e+003
  8.3659000e+002  7.6608474e+001  2.2050000e+003
  8.3600000e+002  7.6253642e+001  2.1970000e+003
  8.3848600e+002  7.5963828e+001  2.1150000e+003
  8.4547000e+002  7.5734336e+001  2.0360000e+003
  8.5000000e+002  7.5543510e+001  1.9640000e+003
  8.5000000e+002  7.5364366e+001  1.9530000e+003
